1,Precious Achiuwa,Mia,F,21.49,38,13.4,28,19.3,15.5,83,0.53,149,0.584,0,0,0.584,0.588,5.7,3.8,15.9,0.5,6.3,0.39,0.5,0.89,6.6,108.6,97.5
2,Jaylen Adams,Mil,G,24.86,7,2.6,5.4,18.5,0,0,0,6,0.167,2,0,0.125,0.125,0.3,0.4,8.7,0.3,12.7,0,0,0,5.1,,
3,Steven Adams,Nor,C,27.65,36,27.4,57.1,12.8,18.5,85,0.459,203,0.635,2,0,0.629,0.613,8.3,9.2,18.6,2,9.7,0.89,0.56,1.53,7.8,121.2,110.2
4,Bam Adebayo,Mia,C-F,23.66,33,33.9,70.7,24,16.3,189,0.847,413,0.567,6,0.333,0.566,0.631,19.2,9.5,15.6,5.4,27.5,0.88,1.03,2.97,11.7,119.9,102.7
5,LaMarcus Aldridge,San,C-F,35.66,21,25.9,54,22.7,7,37,0.838,173,0.509,75,0.36,0.518,0.545,13.7,4.5,9,1.7,10.3,0.38,0.86,0.95,7.3,107.1,107.9
6,Ty-Shon Alexander,Pho,G,22.66,3,2.8,5.8,16.1,0,0,0,2,0,1,0,0,0,0,0.3,6.8,0.3,13.7,0,0,0,0,,
7,Nickeil Alexander-Walker,Nor,G,22.53,31,17.7,36.9,22.5,12.7,38,0.816,130,0.5,107,0.299,0.477,0.506,8.3,2.5,8,1.9,15.3,0.94,0.32,1.19,7.7,100.3,107.5
8,Grayson Allen,Mem,G,25.43,23,24,49.9,15.4,10.4,38,0.895,51,0.412,113,0.407,0.549,0.592,9.3,2.8,6.4,2.2,11.8,1,0.13,0.91,6.4,116.9,109.4
9,Jarrett Allen,Bro,C,22.9,12,26.6,55.5,15.5,19.3,61,0.754,65,0.677,0,0,0.677,0.73,11.2,10.4,22,1.7,8.2,0.58,1.58,1.83,8.8,134.7,106.7
10,Jarrett Allen,Cle,C,22.9,25,28.7,59.9,17.3,11.5,119,0.697,193,0.663,9,0.444,0.663,0.69,14,9.6,18.8,1.7,9.4,0.36,1.8,1.32,8.5,132.2,110.4
11,Al-Farouq Aminu,Orl,F,30.48,12,19.5,40.7,13.9,21.1,11,0.818,35,0.371,20,0.3,0.4,0.443,4.4,4.4,11.7,1.4,10.1,1,0.42,1.33,6.2,87.7,106.5
12,Kyle Anderson,Mem,F-G,27.48,33,27.1,56.4,19.5,11.1,86,0.767,201,0.547,128,0.375,0.553,0.586,13,5.9,11.9,3.4,17.4,1.12,0.64,1.39,9.4,116.3,106.2
13,Giannis Antetokounmpo,Mil,F,26.27,37,33.9,70.6,33.2,13.6,378,0.672,550,0.629,142,0.296,0.591,0.624,29,11.6,17.9,6.1,29.3,1.24,1.38,3.65,15,119.9,100.8
14,Kostas Antetokounmpo,Lal,F,23.32,3,6.4,13.3,20.1,56.3,2,0.5,3,0.333,0,0,0.333,0.387,1,2.7,23.3,0,0,0.33,0.67,1.67,0,46.3,86.9
15,Thanasis Antetokounmpo,Mil,F,28.66,28,8.6,17.9,12.5,26.5,13,0.462,38,0.684,9,0.222,0.617,0.607,2.3,2,12.4,0.6,9.3,0.29,0.21,0.68,6.5,110.4,99.5
16,Carmelo Anthony,Por,F,36.79,37,25.8,53.7,23.9,7.4,108,0.861,270,0.437,173,0.382,0.49,0.537,14.2,3.4,6.9,1.6,9.8,0.89,0.78,1.05,6.6,109.7,111.8
17,Cole Anthony,Orl,G,20.83,25,26.7,55.6,22.2,14.8,55,0.836,186,0.398,83,0.325,0.426,0.469,11,4.4,8.6,3.8,21.6,0.68,0.44,2.04,8.5,95.1,107.7
18,OG Anunoby,Tor,F,23.66,23,33.4,69.7,16.8,12.7,53,0.755,114,0.57,124,0.395,0.582,0.607,13.8,5.7,9.5,1.7,7.3,1.61,0.74,1.65,6.1,112.2,107.4
19,Ryan Arcidiacono,Chi,G,26.97,20,10.8,22.5,12.5,7.9,9,0.889,19,0.526,35,0.314,0.491,0.526,3.1,1.8,9,1.3,14.7,0.25,0,0.25,7.2,115.3,107.3
20,D.J. Augustin,Mil,G,33.34,36,19.4,40.5,14.3,13.8,40,0.9,62,0.339,126,0.381,0.495,0.54,6.2,1.4,3.7,3,18.6,0.56,0.03,0.92,6.1,114.5,112.2
21,Deni Avdija,Was,F,20.2,33,22.2,46.3,12.2,12.1,19,0.579,80,0.55,101,0.347,0.533,0.539,6.2,4.7,11,1.3,7.6,0.67,0.21,0.79,6.1,102.4,104.3
22,Deandre Ayton,Pho,C,22.64,37,30.8,64.1,19.2,12.9,93,0.72,368,0.614,17,0.235,0.603,0.623,14.4,11.2,20.4,1.6,7.8,0.35,1.08,1.7,8.3,120.8,100.2
23,Udoka Azubuike,Uta,C-F,21.49,12,4.1,8.5,11.1,23.7,6,0.667,7,0.571,0,0,0.571,0.622,1,1.1,14.1,0,0,0.08,0.33,0.25,0,107.4,94.1
24,Dwayne Bacon,Orl,G-F,25.54,39,25.2,52.5,19,6.7,81,0.852,248,0.435,121,0.339,0.459,0.504,10.5,2.9,6,1.1,6.6,0.59,0.08,0.74,5.1,101.5,109.9
25,Marvin Bagley III,Sac,F,22,36,26,54.1,22.9,9.7,109,0.56,313,0.54,94,0.362,0.541,0.551,13.9,7.6,16,1,5.5,0.5,0.5,1.36,7.3,108.9,111.4
26,LaMelo Ball,Cha,G,19.56,37,28.9,60.3,24.6,17,104,0.808,271,0.494,199,0.387,0.531,0.565,15.8,6.1,11.4,6.4,33.6,1.59,0.38,2.86,11.8,112,104.1
27,Lonzo Ball,Nor,G,23.38,36,31.4,65.5,19.8,13.6,43,0.767,160,0.488,278,0.388,0.548,0.561,14.3,4.2,7.4,5.2,22.5,1.31,0.56,2,8.6,112.6,111.6
28,Mo Bamba,Orl,C,22.84,20,10.2,21.2,19.9,8.5,14,0.571,52,0.596,28,0.286,0.538,0.545,4.7,4.1,20.7,0.3,4,0.15,0.9,0.4,7,109.1,98.2
29,Desmond Bane,Mem,G,22.72,31,22.9,47.7,16.5,11.9,27,0.889,111,0.523,122,0.451,0.603,0.623,9.8,2.9,6.8,1.3,7.5,0.71,0.13,1.06,5.8,113.3,106.3
30,Harrison Barnes,Sac,F,28.79,35,35.7,74.4,17.7,9.8,164,0.823,249,0.562,149,0.376,0.563,0.62,16.7,6.2,9.6,3.5,13.4,0.77,0.17,1.46,8,124.1,118.8
31,RJ Barrett,Nyk,F-G,20.75,39,33.1,69,23.9,10.4,152,0.73,431,0.48,131,0.359,0.494,0.53,17.1,5.9,9.6,2.9,14.3,0.69,0.21,1.87,8,106.1,104.7
32,Will Barton,Den,G,30.19,35,30.1,62.7,18.6,13.2,52,0.75,217,0.479,149,0.403,0.53,0.549,12.2,4,7.5,3.1,14,0.83,0.4,1.69,7.1,106.8,111.5
